,Genome ID,Organism code,Organism name,Assembly
2775,T05346,dei,Devosia sp. I507,GCA_002949085.1
2776,T06120,dea,Devosia ginsengisoli,GCA_007859655.1
2777,T05588,mmyr,Maritalea myrionectae,GCA_003433515.1
2778,T06140,yti,Youhaiella tibetensis,GCA_008000755.1
2779,T04109,bvr,Blastochloris viridis,GCA_001402875.1
2780,T05837,blag,Blastochloris tepida,GCA_003966715.1
2781,T02324,msc,Methylocystis sp. SC2,GCA_000304315.1
2782,T04837,mbry,Methylocystis bryophila,GCA_002117405.1
2783,T05721,mros,Methylocystis rosea,GCA_003855495.1
2784,T06290,mhey,Methylocystis heyeri,GCA_004802635.2
2785,T06304,mpar,Methylocystis parvus,GCA_009685195.1
2786,T05155,mtw,Methylosinus trichosporium,GCA_002752655.1
2787,T07462,cmet,Chenggangzhangella methanolivorans,GCA_019797865.1
2788,T05766,pleo,Pleomorphomonas sp. SM30,GCA_003966995.1
2789,T05217,hdi,Hartmannibacter diazotrophicus,GCA_900231165.1
2790,T03801,mey,Martelella endophytica,GCA_000960975.1
2791,T04332,maad,Martelella sp. AD-3,GCA_001578105.1
2792,T04757,mmed,Martelella mediterranea,GCA_002043005.1
2793,T07693,mlut,Martelella lutilitoris,GCA_016598595.1
2794,T04161,aua,Aureimonas sp. AU20,GCA_001442755.1
2795,T06837,aala,Aureimonas sp. OT7,GCA_014844055.1
2796,T07762,aalm,Aureimonas altamirensis,GCA_021228915.1
2797,T07802,aub,Aurantimonas sp. HBX-1,GCA_021391535.1
2798,T05594,brn,Breoghania sp. L-A4,GCA_003432385.1
2799,T00938,hci,Candidatus Hodgkinia cicadicola Dsem,GCA_000021505.1
2800,T03202,hct,Candidatus Hodgkinia cicadicola TETULN,GCA_000699475.1
2801,T03595,hcc,Candidatus Hodgkinia cicadicola TETUND1,GCA_000831405.1
2802,T03596,hcd,Candidatus Hodgkinia cicadicola TETUND2,GCA_000831425.1
2803,T04701,thd,Candidatus Tokpelaia hoelldoblerii,GCA_002005325.1
2804,T04834,psin,Pseudorhodoplanes sinuspersici,GCA_002119765.1
2805,T06462,noh,Nordella sp. HKS 07,GCA_011046735.1
2806,T07468,tso,Terrihabitans soli,GCA_014191545.1
2807,T04419,rbm,Rhizobiales bacterium NRL2,GCA_001664005.1
2808,T01669,psf,Pseudovibrio sp. FO-BEG1,GCA_000236645.1
2809,T04214,pphr,Pannonibacter phragmitetus,GCA_001484065.1
2810,T04295,lap,Labrenzia sp. CP4,GCA_001579905.1
2811,T04984,labr,Labrenzia sp. VG12,GCA_002237595.1
2812,T06152,labp,Labrenzia sp. PHM005,GCA_006517275.1
2813,T06351,labt,Labrenzia sp. THAF35,GCA_009363595.1
2814,T04723,lagg,Roseibium aggregatum,GCA_001999245.1
2815,T06350,siw,Stappia indica,GCA_009789575.1
2816,T05356,phr,Phreatobacter cathodiphilus,GCA_003008515.1
2817,T05955,pstg,Phreatobacter stygius,GCA_005144885.1
2818,T07621,liz,Lichenihabitans sp. PAMC28606,GCA_020616535.1
2819,T00049,ccr,Caulobacter vibrioides CB15,GCA_000006905.1
2820,T00841,ccs,Caulobacter vibrioides NA1000,GCF_000022005.1
2821,T00651,cak,Caulobacter sp. K31,GCA_000019145.1
2822,T01221,cse,Caulobacter segnis,GCA_000092285.1
2823,T04110,chq,Caulobacter henricii,GCA_001414055.1
2824,T05166,cmb,Caulobacter mirabilis,GCA_002749615.1
2825,T05702,cfh,Caulobacter flavus,GCA_003722335.1
2826,T05901,cauf,Caulobacter sp. FWC26,GCA_002742645.2
2827,T07744,caul,Caulobacter sp. S6,GCA_018135625.1
2828,T00750,pzu,Phenylobacterium zucineum,GCA_000017265.1
2829,T05485,phb,Phenylobacterium parvum,GCA_003150835.1
2830,T01291,bsb,Brevundimonas subvibrioides,GCA_000144605.1
2831,T04101,brd,Brevundimonas sp. DS20,GCA_001310255.1
2832,T04375,bne,Brevundimonas naejangsanensis,GCA_000635915.2
2833,T04395,brg,Brevundimonas sp. GW460-12-10-14-LB2,GCA_001636925.1
2834,T04750,brl,Brevundimonas sp. LM2,GCA_002002865.1
2835,T04934,bvc,Brevundimonas vesicularis,GCA_002208825.2
2836,T05851,bdm,Brevundimonas diminuta,GCA_004102925.1
2837,T06201,brf,Brevundimonas sp. MF30-B,GCA_004683885.1
2838,T06410,brev,Brevundimonas sp. SGAir0440,GCA_005484585.1
2839,T06564,bmed,Brevundimonas mediterranea,GCA_011064825.1
2840,T06708,bvy,Brevundimonas vancanneytii,GCA_901421975.1
2841,T07529,bnd,Brevundimonas nasdae,GCA_019395145.1
2842,T07639,bpon,Brevundimonas pondensis,GCA_017487345.1
2843,T07668,bgoe,Brevundimonas goettingensis,GCA_017487405.1
2844,T07812,bvit,Brevundimonas vitisensis,GCA_016656965.1
2845,T01378,aex,Asticcacaulis excentricus,GCA_000175215.2
2846,T06781,tsv,Terricaulis silvestris,GCA_009792355.1
2847,T00215,sil,Ruegeria pomeroyi,GCA_000011965.2
2848,T00359,sit,Ruegeria sp. TM1040,GCA_000014065.1
2849,T05627,rua,Ruegeria sp. AD91A,GCA_003443535.1
2850,T06269,rut,Ruegeria sp. THAF33,GCA_009363615.1
2851,T00330,jan,Jannaschia sp. CCS1,GCA_000013565.1
2852,T00376,rde,Roseobacter denitrificans,GCA_000014045.1
2853,T01572,rli,Roseobacter litoralis,GCA_000154785.2
2854,T06561,rpon,Roseobacter ponti,GCA_012932215.1
2855,T00612,dsh,Dinoroseobacter shibae,GCA_000018145.1
2856,T01909,kvl,Ketogulonicigenium vulgare WSH-001,GCA_000223375.1
2857,T01338,kvu,Ketogulonicigenium vulgare Y25,GCA_000164885.1
2858,T04841,kro,Ketogulonicigenium robustum,GCA_002117445.1
2859,T02192,pga,Phaeobacter inhibens DSM 17395,GCA_000154765.2
2860,T02193,pgl,Phaeobacter inhibens 2.10,GCA_000154745.2
2861,T02968,pgd,Phaeobacter gallaeciensis DSM 26640,GCA_000511385.1
2862,T04595,php,Phaeobacter porticola,GCA_001888185.1
2863,T05105,ppic,Phaeobacter piscinae,GCA_002407245.1
2864,T05617,phq,Phaeobacter sp. LSS9,GCA_003443595.1
2865,T02538,oat,Octadecabacter antarcticus,GCA_000155675.2
2866,T02539,oar,Octadecabacter arcticus,GCA_000155735.2
2867,T04001,otm,Octadecabacter temperatus,GCA_001187845.1
2868,T06209,oct,Octadecabacter sp. SW4,GCA_008065155.1
2869,T02961,lmd,Leisingera methylohalidivorans,GCA_000511355.1
2870,T05817,lej,Leisingera sp. NJS204,GCA_004123675.1
2871,T06085,laqu,Leisingera aquaemixtae,GCA_006740765.1
2872,T03060,red,Roseibacterium elongatum,GCA_000590925.1
2873,T03575,cid,Celeribacter indicus,GCA_000819565.1
2874,T04098,cmar,Celeribacter marinus,GCA_001308265.1
2875,T05094,ceh,Celeribacter ethanolicus,GCA_002407265.1
2876,T03981,malg,Marinovum algicola,GCA_001046955.1
2877,T04096,con,Actibacterium sp. EMB200-NS6,GCA_001305615.1
2878,T05431,ypac,Salipiger pacificus,GCA_003111685.1
2879,T04443,yan,Salipiger sp. CCB-MM3,GCA_001687105.1
2880,T04656,tpro,Salipiger profundus,GCA_001969385.1
2881,T04681,paby,Salipiger abyssi,GCA_001975705.1
2882,T04555,suam,Sulfitobacter alexandrii,GCA_001886735.1
2883,T04974,spse,Sulfitobacter pseudonitzschiae,GCA_002222635.1
2884,T05563,sulz,Sulfitobacter sp. SK012,GCA_003352085.1
2885,T05585,suli,Sulfitobacter sp. JL08,GCA_003352045.1
2886,T05714,suld,Sulfitobacter sp. D7,GCA_003611275.1
2887,T05893,sdo,Sulfitobacter donghicola,GCA_004117035.1
2888,T06732,spot,Sulfitobacter pontiacus,GCA_013487745.1
2889,T07747,smed,Sulfitobacter mediterraneus,GCA_016801775.1
2890,T04652,tom,Tateyamaria omphalii,GCA_001969365.1
2891,T04779,rmm,Roseovarius mucosus,GCA_002080415.1
2892,T05517,rok,Roseovarius sp. AK1035,GCA_003288315.1
2893,T06222,rid,Roseovarius indicus,GCA_008728195.1
2894,T06338,rom,Roseovarius faecimaris,GCA_009762325.1
2895,T06352,roh,Roseovarius sp. THAF27,GCA_009363655.1
2896,T04983,aht,Antarctobacter heliothermus,GCA_002237555.1
2897,T05219,sagu,Sagittula sp. P11,GCA_002814095.1
2898,T05844,thaa,Thalassococcus sp. S3,GCA_004216475.1
2899,T06139,ocd,Oceanicola sp. D3,GCA_006351965.1
2900,T06247,maru,Maribius sp. THAF1,GCA_009363795.1
2901,T06253,rot,Roseivivax sp. THAF197b,GCA_009363255.1
2902,T06509,malu,Mameliella alba,GCA_011405015.1
2903,T06533,tgl,Thalassobius gelatinovorus,GCA_012295595.1
2904,T07443,tmd,Thalassobius mediterraneus,GCA_019448215.1
2905,T04275,hat,Falsihalocynthiibacter arcticus,GCA_000812665.2
2906,T00284,rsp,Cereibacter sphaeroides 2.4.1,GCA_000012905.2
2907,T00484,rsh,Rhodobacter sphaeroides ATCC 17029,GCA_000015985.1
2908,T00512,rsq,Rhodobacter sphaeroides ATCC 17025,GCA_000016405.1
2909,T00844,rsk,Cereibacter sphaeroides KD131,GCA_000021005.1
2910,T01213,rcp,Rhodobacter capsulatus,GCA_000021865.1
2911,T04631,rhp,Rhodobacter sp. LPB0142,GCA_001856665.1
2912,T05669,rbl,Fuscovulum blasticum,GCA_003071405.1
2913,T00440,pde,Paracoccus denitrificans,GCA_000203895.1
2914,T02792,pami,Paracoccus aminophilus,GCA_000444995.1
2915,T04781,pye,Paracoccus yeei,GCA_002073635.2
2916,T04876,pcon,Paracoccus contaminans,GCA_002105555.1
2917,T05233,pzh,Paracoccus zhejiangensis,GCA_002847445.1
2918,T05237,paro,Paracoccus sp. BM15,GCA_002847305.1
2919,T05276,paru,Paracoccus jeotgali,GCA_002865605.1
2920,T05468,pamn,Paracoccus aminovorans,GCA_900005615.1
2921,T05551,pmut,Paracoccus mutanolyticus,GCA_003285265.1
2922,T05723,pars,Paracoccus suum,GCA_003324675.1
2923,T06050,parr,Paracoccus sp. Arc7-R13,GCA_004010775.1
2924,T06245,pkd,Paracoccus kondratievae,GCA_009301415.1
2925,T06495,ppan,Paracoccus pantotrophus,GCA_008824185.1
2926,T07041,plia,Paracoccus liaowanqingii,GCA_004683865.2
2927,T07521,psan,Paracoccus sanguinis,GCA_012689545.1
2928,T07681,pmau,Paracoccus marcusii,GCA_019141545.1
2929,T03229,ptp,Planktomarina temperata,GCA_000738435.1
2930,T04143,rsu,Rhodovulum sulfidophilum,GCA_001548075.1
2931,T04771,rhm,Rhodovulum sp. MB263,GCA_002073975.1
2932,T04813,rhc,Rhodovulum sp. P5,GCA_002079305.1
2933,T04367,rmb,Tritonibacter mobilis,GCA_000376545.2
2934,T04387,daa,Frigidibacter mobilis,GCA_001620265.1
2935,T04589,don,Marivivens sp. JLT3646,GCA_001908835.1
2936,T04697,thw,Thioclava nitratireducens,GCA_001940525.2
2937,T06997,tec,Thioclava electrotropha,GCA_002085925.2
2938,T04854,lvs,Yoonia vestfoldensis,GCA_002158905.1
2939,T05218,rbg,Rhodobaca barguzinensis,GCA_001870665.2
2940,T05407,geh,Gemmobacter aquarius,GCA_003060865.1
2941,T07830,gfu,Gemmobacter fulva,GCA_018798885.1
2942,T05742,taw,Tabrizicola piscis,GCA_003940805.1
2943,T05779,salo,Silicimonas algicola,GCA_003970735.1
2944,T05780,sedi,Parasedimentitalea marina,GCA_004006175.1
2945,T05861,hml,Haematobacter massiliensis,GCA_004328555.1
2946,T05925,boo,Boseongicola sp. CCM32,GCA_004751985.1
2947,T05954,pseb,Pseudorhodobacter turbinis,GCA_005234135.1
2948,T06129,lit,Qingshengfaniella alkalisoli,GCA_007855645.1
2949,T06319,ppru,Paraoceanicella profunda,GCA_005887635.2
2950,T06463,paed,Pseudohalocynthiibacter aestuariivivens,GCA_011040495.1
2951,T06480,mon,Monaibacterium sp. ALG8,GCA_011290545.1
2952,T06831,pamo,Profundibacter amoris,GCA_003544895.1
2953,T06866,pshq,Pseudopuniceibacterium antarcticum,GCA_014899185.1
2954,T06919,poz,Pontivivens sp. MT2928,GCA_015679265.1
2955,T06943,palw,Pseudooceanicola algae,GCA_003590145.2
2956,T06971,ppaf,Pelagovum pacificum,GCA_016134045.1
2957,T01458,pgv,Polymorphum gilvum,GCA_000192745.1
2958,T07138,cact,Cognatishimia activa,GCA_017798205.1
2959,T05514,rbz,Aestuarium zhoushanense,GCA_002850435.1
2960,T05357,thas,Pukyongiella litopenaei,GCA_003008555.2
2961,T06458,hdh,Pikeienuella piscinae,GCA_011044155.1
2962,T05128,cmag,Pacificitalea manganoxidans,GCA_002504165.1
2963,T07373,fap,Falsirhodobacter sp. PG104,GCA_018279165.1
2964,T06457,faq,Rhodobacteraceae bacterium SC52,GCA_011040475.1
2965,T00394,mmr,Maricaulis maris,GCA_000014745.1
2966,T05786,gak,Glycocaulis alkaliphilus,GCA_004000605.1
2967,T06775,hyt,Hyphobacterium sp. CCMP332,GCA_014323565.1
2968,T00397,hne,Hyphomonas neptunium,GCA_000013025.1
2969,T00945,hba,Hirschia baltica,GCA_000023785.1
2970,T04422,cbot,Candidatus Viadribacter manganicus,GCA_001679665.1
2971,T04338,hbc,Hyphomonadaceae bacterium UKL13-1,GCA_001602435.1
2972,T00221,zmo,Zymomonas mobilis subsp. mobilis ZM4,GCA_000007105.1
2973,T01110,zmn,Zymomonas mobilis subsp. mobilis NCIMB 11163,GCA_000024245.1
2974,T01875,zmm,Zymomonas mobilis subsp. mobilis ATCC 10988,GCA_000175255.2
2975,T02187,zmb,Zymomonas mobilis subsp. mobilis ATCC 29191,GCA_000277755.1
2976,T02932,zmi,Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023,GCA_000498655.1
2977,T03385,zmc,Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023,GCA_000576165.1
2978,T03160,zmr,Zymomonas mobilis subsp. mobilis NRRL B-12526,GCA_000576125.1
2979,T01556,zmp,Zymomonas mobilis subsp. pomaceae ATCC 29192,GCA_000218875.1
2980,T00322,nar,Novosphingobium aromaticivorans,GCA_000013325.1
2981,T01515,npp,Novosphingobium sp. PP1Y,GCA_000253255.1
2982,T03399,npn,Novosphingobium pentaromativorans,GCA_000767465.1
2983,T04490,nre,Novosphingobium resinovorum,GCA_001742225.1
2984,T05550,nov,Novosphingobium sp. P6W,GCA_000876675.2
2985,T05635,not,Novosphingobium sp. THN1,GCA_003454795.1
2986,T06038,nor,Novosphingobium sp. EMRT-2,GCA_005145025.1
2987,T06189,ngf,Novosphingobium ginsenosidimutans,GCA_007954425.1
2988,T06443,nog,Novosphingobium sp. Gsoil 351,GCA_009707465.1
2989,T00361,sal,Sphingopyxis alaskensis,GCA_000013985.1
2990,T03542,sphk,Sphingopyxis fribergensis,GCA_000803645.1
2991,T04069,sphp,Sphingopyxis sp. 113P3,GCA_001278035.1
2992,T04104,smag,Sphingopyxis macrogoltabida EY-1,GCA_001307295.1
2993,T04627,smaz,Sphingopyxis macrogoltabida 203,GCA_001314325.1
2994,T04307,ster,Sphingopyxis terrae,GCA_001610975.1
2995,T04372,sgi,Sphingopyxis granuli,GCA_001559015.1
2996,T04602,sphl,Sphingopyxis sp. LPB0140,GCA_001889025.1
2997,T04913,sphq,Sphingopyxis sp. QXT-31,GCA_001984035.1
2998,T05382,spho,Sphingopyxis sp. MG,GCA_002953155.1
2999,T06315,sphx,Sphingopyxis sp. PAMC25046,GCA_004795895.1
3000,T05531,sphu,Uncultured Sphingopyxis sp. UC10,GCA_900078365.1
3001,T00538,swi,Rhizorhabdus wittichii RW1,GCA_000016765.1
3002,T05200,sphd,Rhizorhabdus wittichii DC-6,GCA_000715175.2
3003,T05084,rdi,Rhizorhabdus dicambivorans,GCA_002355275.1
3004,T02498,sphm,Sphingomonas sp. MM-1,GCA_000347675.2
3005,T03398,stax,Sphingomonas taxi,GCA_000764535.1
3006,T03848,sphi,Sphingomonas hengshuiensis,GCA_000935025.1
3007,T03929,ssan,Sphingomonas sanxanigenens,GCA_000512205.2
3008,T04479,snj,Sphingomonas sp. NIC1,GCA_001638925.1
3009,T04509,smy,Sphingomonas melonis,GCA_001761345.1
3010,T04760,span,Sphingomonas panacis,GCA_001717955.1
3011,T04828,skr,Sphingomonas koreensis,GCA_001922385.1
3012,T04824,splm,Sphingomonas sp. LM7,GCA_002002925.1
3013,T04954,splk,Sphingomonas sp. LK11,GCA_001971605.1
3014,T04987,spkc,Sphingomonas sp. KC8,GCA_002151445.1
3015,T05307,sphc,Sphingomonas sp. Cra20,GCA_002796605.1
3016,T05685,sphf,Sphingomonas sp. FARSPH,GCA_003355005.1
3017,T05706,spha,Sphingomonas sp. YZ-8,GCA_003660165.1
3018,T06034,spau,Sphingomonas paucimobilis,GCA_003314795.2
3019,T06681,sech,Sphingomonas echinoides,GCA_013395035.1
3020,T06880,slut,Sphingomonas lutea,GCA_014396785.1
3021,T07014,srhi,Sphingomonas rhizophila,GCA_014396585.1
3022,T07071,slan,Sphingomonas lacunae,GCA_012979535.1
3023,T07072,sdh,Sphingomonas daechungensis,GCA_014489495.1
3024,T07077,ssed,Sphingomonas sediminicola,GCA_014489515.1
3025,T07078,spap,Sphingomonas alpina,GCA_014490665.1
3026,T07168,sxa,Sphingomonas xanthus,GCA_007998985.1
3027,T07288,spai,Sphingomonas panacisoli,GCA_007859635.1
3028,T07460,spii,Sphingomonas piscis,GCA_011300455.1
3029,T07461,ssin,Sphingomonas sinipercae,GCA_011302055.1
3030,T07540,ssau,Sphingomonas sabuli,GCA_014352855.1
3031,T07559,sari,Sphingomonas aliaeris,GCA_016743815.1
3032,T07798,schy,Sphingomonas changnyeongensis,GCA_009913435.1
3033,T01201,sjp,Sphingobium japonicum,GCA_000091125.1
3034,T04604,sinb,Sphingobium indicum,GCA_000264945.2
3035,T01522,sch,Sphingobium chlorophenolicum,GCA_000147835.3
3036,T01622,ssy,Sphingobium sp. SYK-6,GCA_000283515.1
3037,T03855,syb,Sphingobium sp. YBL2,GCA_000943805.1
3038,T04194,sbd,Sphingobium baderi,GCA_001456115.1
3039,T04383,spmi,Sphingobium sp. MI1205,GCA_001563285.1
3040,T04432,sphb,Sphingobium sp. EP60837,GCA_001658005.1
3041,T04461,sphr,Sphingobium sp. RAC03,GCA_001713415.1
3042,T04965,spht,Sphingobium sp. TKS,GCA_001563265.1
3043,T05146,shyd,Sphingobium xenophagum,GCA_002288285.1
3044,T05170,sya,Sphingobium yanoikuyae,GCA_002504085.1
3045,T05301,sclo,Sphingobium cloacae,GCA_002355855.1
3046,T05858,spyg,Sphingobium sp. YG1,GCA_003609795.1
3047,T06343,sufl,Sphingobium fuliginis ATCC 27551,GCA_006363875.1
3048,T06985,sbar,Sphingobium fuliginis KK22,GCA_015074805.1
3049,T06684,sami,Sphingobium amiense,GCA_003967075.1
3050,T07582,spph,Sphingobium phenoxybenzoativorans,GCA_018286635.1
3051,T04089,cij,Citromicrobium sp. JL477,GCA_001304795.1
3052,T04317,sphg,Sphingorhabdus sp. M41,GCA_001586275.1
3053,T04949,sfla,Sphingorhabdus sp. SMR4y,GCA_002218195.1
3054,T05308,sphy,Sphingorhabdus sp. YGSMI21,GCA_002776575.1
3055,T04450,blas,Blastomonas sp. RAC04,GCA_001713435.1
3056,T05612,bfw,Blastomonas fulva,GCA_003431825.1
3057,T04967,sphj,Tardibacter chloracetimidivorans,GCA_001890385.1
3058,T06464,spzr,Sphingosinithalassobacter tenebrarum,GCA_011057975.1
3059,T06455,hgn,Hankyongella ginsenosidimutans,GCA_005144965.1
3060,T06669,palg,Parasphingopyxis algicola,GCA_013378075.1
3061,T07111,parj,Parasphingorhabdus sp. JHSY0214,GCA_017498565.1
3062,T07423,phao,Parasphingorhabdus halotolerans,GCA_012516475.1
3063,T05811,smic,Sphingosinicella microcystinivorans,GCA_003967095.1
3064,T05826,sphs,Sphingosinicella sp. BN140058,GCA_004135585.1
3065,T06739,sand,Sandaracinobacter sp. M6,GCA_014117445.1
3066,T07387,poq,Polymorphobacter sp. PAMC 29334,GCA_019431245.1
3067,T04070,aep,Altererythrobacter epoxidivorans,GCA_001281485.1
3068,T05671,alb,Altererythrobacter sp. B11,GCA_003569745.1
3069,T06465,alh,Altererythrobacter sp. BO-6,GCA_011047315.1
3070,T03925,aay,Croceibacterium atlanticum,GCA_001008165.2
3071,T03951,amx,Pelagerythrobacter marensis,GCA_001028625.1
3072,T04447,anh,Paraurantiacibacter namhicola,GCA_001687545.1
3073,T04466,ado,Tsuneonella dongtanensis,GCA_001698205.1
3074,T07616,tfv,Tsuneonella flava,GCA_016925655.1
3075,T03964,cna,Croceicoccus naphthovorans,GCA_001028705.1
3076,T04890,cman,Croceicoccus marinus,GCA_001661675.2
3077,T03997,ery,Aurantiacibacter atlanticus,GCA_001077815.2
3078,T04581,egn,Aurantiacibacter gangjinensis,GCA_001886695.1
3079,T04986,efv,Qipengyuania flava,GCA_002237615.1
3080,T00315,eli,Erythrobacter litoralis HTCC2594,GCA_000013005.1
3081,T04740,elq,Erythrobacter litoralis DSM 8509,GCA_001719165.1
3082,T05511,erk,Erythrobacter sp. KY5,GCA_003264115.1
3083,T05587,err,Erythrobacter aureus,GCA_003355455.1
3084,T06318,erf,Erythrobacter sp. THAF29,GCA_009363635.1
3085,T06812,emv,Erythrobacter mangrovi,GCA_013260645.1
3086,T04416,pns,Erythrobacter neustonensis,GCA_001663175.1
3087,T04468,porl,Porphyrobacter sp. LM 6,GCA_001720465.1
3088,T05364,phz,Porphyrobacter sp. HT-58-2,GCA_002952215.1
3089,T06153,pot,Porphyrobacter sp. YT40,GCA_006542605.1
3090,T00230,gox,Gluconobacter oxydans 621H,GCA_000011685.1
3091,T02348,goh,Gluconobacter oxydans H24,GCA_000311765.1
3092,T03563,goy,Gluconobacter oxydans DSM 3504,GCA_000583855.1
3093,T04736,gal,Gluconobacter albidus,GCA_002005485.1
3094,T06199,gti,Gluconobacter thailandicus,GCA_008118345.1
3095,T07169,gsp,Gluconobacter sphaericus,GCA_016757795.1
3096,T00392,gbe,Granulibacter bethesdensis CGDNIH1,GCA_000014285.2
3097,T03083,gbh,Granulibacter bethesdensis CGDNIH2,GCA_000576185.2
3098,T03155,gbc,Granulibacter bethesdensis NIH3.1,GCA_000576085.2
3099,T03156,gbs,Granulibacter bethesdensis CGDNIH4,GCA_000576145.2
3100,T00527,acr,Acidiphilium cryptum,GCA_000016725.1
3101,T01446,amv,Acidiphilium multivorum,GCA_000202835.1
3102,T00631,gdi,Gluconacetobacter diazotrophicus PA1 5 (Brazil),GCA_000067045.1
3103,T00798,gdj,Gluconacetobacter diazotrophicus PA1 5 (JGI),GCA_000021325.1
3104,T01631,gxy,Komagataeibacter medellinensis,GCA_000182745.1
3105,T03044,gxl,Komagataeibacter xylinus,GCA_000550765.1
3106,T04737,kna,Komagataeibacter nataicola,GCA_002009295.1
3107,T04893,keu,Komagataeibacter europaeus,GCA_002173515.1
3108,T05634,ksc,Komagataeibacter saccharivorans,GCA_003546645.1
3109,T06497,kre,Komagataeibacter rhaeticus,GCA_011611525.1
3110,T06979,kha,Komagataeibacter hansenii,GCA_014843995.1
3111,T00988,apt,Acetobacter pasteurianus IFO 3283-01,GCA_000010825.1
3112,T01818,apw,Acetobacter pasteurianus IFO 3283-01-42C,GCA_000010945.1
3113,T01812,apf,Acetobacter pasteurianus IFO 3283-03,GCA_000010845.1
3114,T01813,apu,Acetobacter pasteurianus IFO 3283-07,GCA_000010865.1
3115,T01814,apg,Acetobacter pasteurianus IFO 3283-12,GCA_000010965.1
3116,T01815,apq,Acetobacter pasteurianus IFO 3283-22,GCA_000010885.1
3117,T01816,apx,Acetobacter pasteurianus IFO 3283-26,GCA_000010905.1
3118,T01817,apz,Acetobacter pasteurianus IFO 3283-32,GCA_000010925.1
3119,T02786,apk,Acetobacter pasteurianus 386B,GCA_000723785.1
3120,T04217,asz,Acetobacter senegalensis,GCA_001499615.1
3121,T04478,asv,Acetobacter oryzifermentans,GCA_001628715.1
3122,T04735,aace,Acetobacter aceti,GCA_002005445.1
3123,T04751,aper,Acetobacter persici,GCA_002006565.1
3124,T05180,apom,Acetobacter pomorum,GCA_002456135.1
3125,T05181,ato,Acetobacter tropicalis,GCA_002549835.1
3126,T05523,aasc,Acetobacter ascendens,GCA_001766235.1
3127,T05544,acet,Acetobacter sp. JWB,GCA_003323795.1
3128,T06324,aot,Acetobacter orientalis,GCA_003966365.1
3129,T06445,aoy,Acetobacter oryzoeni,GCA_004014775.2
3130,T04138,abg,Asaia bogorensis,GCA_001547995.1
3131,T04547,kba,Kozakia baliensis,GCA_001787335.1
3132,T04615,rgi,Roseomonas gilardii,GCA_001941945.1
3133,T05160,ros,Roseomonas sp. FDAARGOS_362,GCA_002754815.1
3134,T06208,rmuc,Roseomonas mucosa,GCA_008693785.1
3135,T04705,nch,Neoasaia chiangmaiensis,GCA_002005465.1
3136,T05684,coq,Commensalibacter sp. AMU001,GCA_003691365.1
3137,T06375,comm,Commensalibacter sp. ESL0284,GCA_009734185.1
3138,T06079,ntn,Neokomagataea tanensis,GCA_006542335.1
3139,T06092,neh,Oecophyllibacter saccharovorans,GCA_006542375.1
3140,T06080,ssam,Swingsia samuiensis,GCA_006542355.1
3141,T06093,swf,Swingsia sp. F3b2,GCA_006542395.2
3142,T06372,bob,Bombella sp. ESL0368,GCA_009734205.1
3143,T06386,bomb,Bombella sp. KACC 21507,GCA_009906835.1
3144,T07040,ebla,Entomobacter blattae,GCA_014672835.1
3145,T07054,lck,Lichenicola cladoniae,GCA_013201075.1
3146,T06078,shum,Stella humosa,GCA_006738645.1
3147,T06335,svc,Stella vacuolata,GCA_006739055.1
3148,T01169,azl,Azospirillum sp. B510,GCA_000010725.1
3149,T01658,ali,Azospirillum lipoferum,GCA_000283655.1
3150,T02152,abs,Azospirillum baldaniorum Sp245,GCA_000237365.1
3151,T03288,abq,Azospirillum brasilense Az39,GCA_000632475.2
3152,T04566,abf,Azospirillum brasilense Sp7,GCA_001315015.1
3153,T04091,ati,Azospirillum thiophilum,GCA_001305595.1
3154,T04409,ahu,Azospirillum humicireducens,GCA_001639105.2
3155,T05449,azt,Azospirillum sp. TSH58,GCA_003119115.1
3156,T05500,azm,Azospirillum ramasamyi,GCA_003233655.1
3157,T05917,azz,Azospirillum thermophilum,GCA_003130795.1
3158,T06782,aoz,Azospirillum oryzae,GCA_013347285.1
3159,T04935,nao,Nitrospirillum amazonense,GCA_000730165.2
3160,T05262,ncb,Niveispirillum cyanobacteriorum,GCA_002868735.1
3161,T07020,skt,Skermanella sp. TT6,GCA_016653635.2
3162,T07652,smuc,Skermanella mucosa,GCA_016765655.2
3163,T07666,sroe,Skermanella rosea,GCA_016806835.2
3164,T00310,rru,Rhodospirillum rubrum ATCC 11170,GCA_000013085.1
3165,T02006,rrf,Rhodospirillum rubrum F11,GCA_000225955.1
3166,T00785,rce,Rhodospirillum centenum,GCA_000016185.1
3167,T01851,rpm,Pararhodospirillum photometricum,GCA_000284415.2
3168,T00305,mag,Magnetospirillum magneticum,GCA_000009985.1
3169,T02960,mgy,Magnetospirillum gryphiswaldense MSR-1 v2,GCA_000513295.1
3170,T05662,mgry,Magnetospirillum gryphiswaldense MSR-1,GCA_002995515.1
3171,T04231,magx,Magnetospirillum sp. XM-1,GCA_001511835.1
3172,T04817,magn,Magnetospirillum sp. ME-1,GCA_002105535.1
3173,T02128,tmo,Tistrella mobilis,GCA_000264455.2
3174,T02365,thal,Candidatus Endolissoclinum faulkneri L2,GCA_000319385.1
3175,T04221,efk,Candidatus Endolissoclinum faulkneri L5,GCA_000510265.1
3176,T04366,hjo,Haematospirillum jordaniae,GCA_001611975.1
